Id                  Entry                    File_Name      
590                 9141145461               IT00210759999_dAJiT.XML
591                 9143921846               IT016417907022023w_021Bw.xml
592                 9136114688               IT01879020517A2023_aLm1c.xml
593                 9141079974               IT00210759999_G7sK0.XML
594                 9140979187               IT00210759999_c472P.XML
595                 9147440112               IT016417907022023q_022VZ.xml
596                 9140242068               IT04077341008_CDQ8I.xml
795                 9181322714               IT10131100157_E0462.xml
597                 9148641045               IT00424730372_02FUD.xml
598                 9140900156               IT00210759999_v76B7.XML
796                 9181322708               IT10131100157_E0461.xml
599                 9142345926               IT00210759999_EXgeC.XML
797                 9181322741               IT10131100157_E0464.xml
798                 9181322754               IT10131100157_E0465.xml
636                 9146074872               IT06628860964_8WKcP.xml
714                 9172666139               IT00865310221_LM8IW.xml
637                 9146929980               IT07945211006RZLER_82L0Y.xml
638                 9147914983               IT04921880961_73LA.xml
639                 9157087440               IT03466010232_3vg4i.xml
680                 9163068931               IT00484960588_Frtvm.xml
681                 9163142082               IT12581270969_Z9K5O.xml
683                 9164164628               SM03473_8Me7M.xml
640                 9148871251               IT02448510046TESI2_KFI00.xml
641                 9148875051               IT016417907022023B_023Ph.xml
642                 9148927262               IT01533080675_5912l.xml
643                 9148875169               IT016417907022023D_023PU.xml
644                 9158399638               IT09247981005_G608f.xml
600                 9141025656               IT00210759999_e5y3P.XML
645                 9158446140               IT00865310221_LKJIN.xml
601                 9141082093               IT00210759999_ywC84.XML
646                 9158446206               IT00865310221_LKJIS.xml
602                 9141081877               IT00210759999_x1qgd.XML
647                 9158780116               IT0526289001423063_JD1KC.xml
603                 9141025790               IT00210759999_56BVn.XML
802                 9183373519               IT01912660303_00B7Q.xml
648                 9158446150               IT00865310221_LKJIO.xml
604                 9140691465               IT00210759999_fhTs4.XML
649                 9154210453               IT016417907022023j_025S2.xml
803                 9183386423               IT01912660303_00B7R.xml
605                 9141145469               IT00210759999_89wue.XML
606                 9141144778               IT00210759999_R6972.XML
804                 9182803830               IT02355260981_K7dvj.xml
607                 9148640804               IT00424730372_02FUE.xml
608                 9140691554               IT00210759999_HG2Y9.XML
609                 9141146293               IT00210759999_zF7cQ.XML
690                 9165919432               IT02046570426_3Wgtr.xml
691                 9166396521               IT01457430930_00C3Q.xml
693                 9165217100               IT01452340936_00025.xml
650                 9154369262               IT01705590931_HV94C.xml
651                 9157931464               IT05793960963_P1TDK.xml
652                 9156991881               IT09462880965_00VEC.xml
696                 9166418600               IT01457430930_00C3S.xml
774                 9176091221               IT08973230967_5yOAW.xml
653                 9158446178               IT00865310221_LKJIQ.xml
697                 9166395656               IT01457430930_00C3P.xml
654                 9162151351               IT08973230967_5x0ZS.xml
610                 9145334609               IT04839740489_EyHhb.xml
731                 9173859632               IT01879020517A2023_aTpw0.xml
655                 9160570996               IT01452340936_0001G.xml
611                 9141145657               IT00210759999_6qk0J.XML
612                 9140685770               IT00210759999_5vf20.XML
656                 9162437361               IT016417907022023H_028jK.xml
613                 9142247832               IT02682180308_00BI9.xml
657                 9162514444               IT03466010232_3w0Z1.xml
778                 9176273612               IT016417907022023T_02e3c.xml
614                 9141028072               IT00210759999_Q1ycK.XML
615                 9145376823               IT04077341008_CE1OH.xml
616                 9141085394               IT00210759999_KSV57.XML
617                 9140678973               IT00210759999_MalV2.XML
618                 9141083364               IT00210759999_n2VfW.XML
619                 9141146675               IT00210759999_39THY.XML
780                 9178974908               IT08973230967_5yYNf.xml
781                 9177918464               IT02355260981_K6vQR.xml
584                 9140981453               IT00210759999_TZYas.XML
585                 9141144167               IT00210759999_72rLX.XML
586                 9141083167               IT00210759999_OSU2v.XML
587                 9140853699               IT00210759999_Of2Cy.XML
620                 9141081466               IT00210759999_tYKsk.XML
588                 9141081281               IT00210759999_PcU5F.XML
621                 9140685661               IT00210759999_97WxW.XML
622                 9151626611               IT01879020517A2023_aOCRe.xml
589                 9141144980               IT00210759999_cg688.XML
623                 9151343918               IT08973230967_5wXss.xml
821                 9187090121               IT01879020517A2023_aVzuL.xml
700                 9167102494               IT03336420967_a7bp8.xml
624                 9144398254               IT01879020517A2023_aMSUH.xml
822                 9187299125               IT01533080675_5BNoT.xml
701                 9170177990               IT01610670356_A3xcK.xml
823                 9188034728               IT01610670356_A3yBv.xml
625                 9144873375               IT02098391200_5aPmE.xml
824                 9184065268               IT02046570426_3XVv4.xml
825                 9184185361               IT02355260981_K7os4.xml
627                 9154368624               IT01705590931_HV94B.xml
826                 9188034272               IT01610670356_A3yBu.xml
829                 9190553617               IT10442360961_79EXX.xml
